,domain,source
0,freeworldnews.tv,"['mbfc (conspiracy-pseudo-science)', 'mbfc (conspiracy-pseudo-science)']"
1,21stcenturywire.com,['mbfc (conspiracy-pseudo-science)']
2,79days.news,['mbfc (conspiracy-pseudo-science)']
3,369news.net,['mbfc (conspiracy-pseudo-science)']
4,911truth.org,['mbfc (conspiracy-pseudo-science)']
5,abovetopsecret.com,['mbfc (conspiracy-pseudo-science)']
6,acallforanuprising.com,['mbfc (conspiracy-pseudo-science)']
7,latitudes.org,['mbfc (conspiracy-pseudo-science)']
8,activistpost.com,['mbfc (conspiracy-pseudo-science)']
9,actualized.org,['mbfc (conspiracy-pseudo-science)']
10,additudemag.com,['mbfc (conspiracy-pseudo-science)']
11,ageofautism.com,['mbfc (conspiracy-pseudo-science)']
12,newsinstact.com,['mbfc (conspiracy-pseudo-science)']
13,allianceforadvancedhealth.com,['mbfc (conspiracy-pseudo-science)']
14,anh-usa.org,"['mbfc (conspiracy-pseudo-science)', 'feedly.com']"
15,altermedzentrum.com,['mbfc (conspiracy-pseudo-science)']
16,thealternativedaily.com,['mbfc (conspiracy-pseudo-science)']
17,amtvmedia.com,['mbfc (conspiracy-pseudo-science)']
18,alternativenews.com,['mbfc (conspiracy-pseudo-science)']
19,althealthworks.com,['mbfc (conspiracy-pseudo-science)']
20,altleft.news,['mbfc (conspiracy-pseudo-science)']
21,americandigitalnews.com,['mbfc (conspiracy-pseudo-science)']
22,americanfreepress.net,['mbfc (conspiracy-pseudo-science)']
23,aim4truth.org,['mbfc (conspiracy-pseudo-science)']
24,amg-news.com,['mbfc (conspiracy-pseudo-science)']
25,americanpolicy.org,['mbfc (conspiracy-pseudo-science)']
26,americasfrontlinedoctors.com,['mbfc (conspiracy-pseudo-science)']
27,ancient-code.com,['mbfc (conspiracy-pseudo-science)']
28,ancient-origins.net,['mbfc (conspiracy-pseudo-science)']
29,andmagazine.com,['mbfc (conspiracy-pseudo-science)']
30,anewspost.com,['mbfc (conspiracy-pseudo-science)']
31,answersingenesis.org,['mbfc (conspiracy-pseudo-science)']
32,anti-empire.com,['mbfc (conspiracy-pseudo-science)']
33,anyavien.com,['mbfc (conspiracy-pseudo-science)']
34,apost.com,['mbfc (conspiracy-pseudo-science)']
35,ae911truth.org,['mbfc (conspiracy-pseudo-science)']
36,asia-pacificresearch.com,['mbfc (conspiracy-pseudo-science)']
37,askingangels.com,['mbfc (conspiracy-pseudo-science)']
38,assassinationscience.com,['mbfc (conspiracy-pseudo-science)']
39,australiannationalreview.com,['mbfc (conspiracy-pseudo-science)']
40,autismspeaks.org,['mbfc (conspiracy-pseudo-science)']
41,awakecanada.org,['mbfc (conspiracy-pseudo-science)']
42,awarenessact.com,['mbfc (conspiracy-pseudo-science)']
43,banned.video,['mbfc (conspiracy-pseudo-science)']
44,beholdisrael.org,['mbfc (conspiracy-pseudo-science)']
45,bestnewshere.com,['mbfc (conspiracy-pseudo-science)']
46,biggovernment.news,['mbfc (conspiracy-pseudo-science)']
47,biodefense.com,['mbfc (conspiracy-pseudo-science)']
48,biologos.org,['mbfc (conspiracy-pseudo-science)']
49,biotechexpressmag.com,['mbfc (conspiracy-pseudo-science)']
50,blacklistednews.com,['mbfc (conspiracy-pseudo-science)']
