domain;source
bbc.com;['yougov2022', yougov2023']
pbs.org;['yougov2022', yougov2023']
cbs.com;['yougov2022', yougov2023']
wsj.com;['yougov2022', yougov2023']
apnews.com;['yougov2022', yougov2023']
npr.org;['yougov2022', yougov2023']
reuters.com;['yougov2022', yougov2023']
washingtonpost.com;['yougov2022', yougov2023']
abcnews.go.com;['yougov2022', yougov2023']
theguardian.com;['yougov2022', yougov2023']
nbcnews.com;['yougov2022', yougov2023']
nytimes.com;['yougov2022', yougov2023']
usatoday.com;['yougov2022', yougov2023']
time.com;['yougov2022', yougov2023']
forbes.com;['yougov2022', yougov2023']
economist.com;['yougov2023']
businessinsider.com;['yougov2023']
c-span.org;['yougov2023']
newsweek.com;['yougov2023']
newyorker.com;['yougov2023']
bloomberg.com;['yougov2023']
theatlantic.com;['yougov2023']
cnn.com;['yougov2023']
nypost.com;['yougov2023']
thehill.com;['yougov2023']
news.yahoo.com;['yougov2023']
newsmax.com;['yougov2023']
axios.com;['yougov2023']
politico.com;['yougov2023']
msnbc.com;['yougov2023']
oann.com;['yougov2023']
washingtonexaminer.com;['yougov2023']
foxnews.com;['yougov2023']
thefederalist.com;['yougov2023']
slate.com;['yougov2023']
aljazeera.com;['yougov2023']
thedailybeast.com;['yougov2023']
huffpost.com;['yougov2023']
